%# 1. u 2. x_tilde 3. y 
%# N = 1024	L =  0.0000000000000000e+00
%# H/L =  4.2719097496006286e-04	c =  1.4999999999999999e-01	h = 2.000000e-02	y0 = 0.000000e+00

-3.1415926535897931e+00	 1.5822560444461531e-16	-5.6071121414200965e-05
-3.1354567304382504e+00	-1.5824840036100579e-05	-5.6071121414368650e-05
-3.1293208072867080e+00	-3.1649680072519913e-05	-5.6071121414202164e-05
-3.1231848841351653e+00	-4.7474520108763824e-05	-5.6071121414367498e-05
-3.1170489609836229e+00	-6.3299360145198554e-05	-5.6071121414202889e-05
-3.1109130378320802e+00	-7.9124200181426851e-05	-5.6071121414366278e-05
-3.1047771146805379e+00	-9.4949040217877194e-05	-5.6071121414204739e-05
-3.0986411915289951e+00	-1.1077388025408988e-04	-5.6071121414364544e-05
-3.0925052683774528e+00	-1.2659872029055497e-04	-5.6071121414206677e-05
-3.0863693452259100e+00	-1.4242356032675204e-04	-5.6071121414362050e-05
-3.0802334220743677e+00	-1.5824840036323361e-04	-5.6071121414209157e-05
-3.0740974989228249e+00	-1.7407324039941463e-04	-5.6071121414359048e-05
-3.0679615757712821e+00	-1.8989808043591268e-04	-5.6071121414212349e-05
-3.0618256526197398e+00	-2.0572292047207766e-04	-5.6071121414355470e-05
-3.0556897294681971e+00	-2.2154776050859219e-04	-5.6071121414216435e-05
-3.0495538063166547e+00	-2.3737260054473895e-04	-5.6071121414350842e-05
-3.0434178831651120e+00	-2.5319744058127083e-04	-5.6071121414221469e-05
-3.0372819600135696e+00	-2.6902228061740068e-04	-5.6071121414345394e-05
-3.0311460368620269e+00	-2.8484712065394990e-04	-5.6071121414227582e-05
-3.0250101137104846e+00	-3.0067196069006284e-04	-5.6071121414338618e-05
-3.0188741905589418e+00	-3.1649680072662854e-04	-5.6071121414234832e-05
-3.0127382674073995e+00	-3.3232164076272500e-04	-5.6071121414330771e-05
-3.0066023442558567e+00	-3.4814648079930675e-04	-5.6071121414243343e-05
-3.0004664211043139e+00	-3.6397132083538846e-04	-5.6071121414321528e-05
-2.9943304979527716e+00	-3.7979616087198496e-04	-5.6071121414252999e-05
-2.9881945748012289e+00	-3.9562100090805236e-04	-5.6071121414311079e-05
-2.9820586516496865e+00	-4.1144584094466143e-04	-5.6071121414264079e-05
-2.9759227284981438e+00	-4.2727068098071625e-04	-5.6071121414299634e-05
-2.9697868053466014e+00	-4.4309552101733790e-04	-5.6071121414276357e-05
-2.9636508821950587e+00	-4.5892036105338319e-04	-5.6071121414287070e-05
-2.9575149590435164e+00	-4.7474520109001220e-04	-5.6071121414289158e-05
-2.9513790358919736e+00	-4.9057004112605012e-04	-5.6071121414273233e-05
-2.9452431127404308e+00	-5.0639488116268467e-04	-5.6071121414303157e-05
-2.9391071895888885e+00	-5.2221972119871824e-04	-5.6071121414259444e-05
-2.9329712664373457e+00	-5.3804456123535582e-04	-5.6071121414317584e-05
-2.9268353432858034e+00	-5.5386940127138951e-04	-5.6071121414244658e-05
-2.9206994201342606e+00	-5.6969424130802633e-04	-5.6071121414332241e-05
-2.9145634969827183e+00	-5.8551908134406208e-04	-5.6071121414229716e-05
-2.9084275738311756e+00	-6.0134392138069500e-04	-5.6071121414346722e-05
-2.9022916506796332e+00	-6.1716876141673519e-04	-5.6071121414215188e-05
-2.8961557275280905e+00	-6.3299360145335922e-04	-5.6071121414361061e-05
-2.8900198043765482e+00	-6.4881844148941112e-04	-5.6071121414201100e-05
-2.8838838812250054e+00	-6.6464328152602377e-04	-5.6071121414374884e-05
-2.8777479580734626e+00	-6.8046812156208987e-04	-5.6071121414187744e-05
-2.8716120349219203e+00	-6.9629296159868658e-04	-5.6071121414387867e-05
-2.8654761117703775e+00	-7.1211780163476796e-04	-5.6071121414175242e-05
-2.8593401886188352e+00	-7.2794264167134809e-04	-5.6071121414399916e-05
-2.8532042654672924e+00	-7.4376748170744758e-04	-5.6071121414163810e-05
-2.8470683423157501e+00	-7.5959232174400721e-04	-5.6071121414410744e-05
-2.8409324191642074e+00	-7.7541716178012882e-04	-5.6071121414153632e-05
-2.8347964960126650e+00	-7.9124200181666677e-04	-5.6071121414420468e-05
-2.8286605728611223e+00	-8.0706684185281332e-04	-5.6071121414144762e-05
-2.8225246497095799e+00	-8.2289168188932503e-04	-5.6071121414428735e-05
-2.8163887265580372e+00	-8.3871652192549499e-04	-5.6071121414137186e-05
-2.8102528034064944e+00	-8.5454136196198296e-04	-5.6071121414435681e-05
-2.8041168802549521e+00	-8.7036620199817808e-04	-5.6071121414130952e-05
-2.7979809571034093e+00	-8.8619104203463948e-04	-5.6071121414441291e-05
-2.7918450339518670e+00	-9.0201588207086290e-04	-5.6071121414125924e-05
-2.7857091108003242e+00	-9.1784072210729622e-04	-5.6071121414445581e-05
-2.7795731876487819e+00	-9.3366556214354664e-04	-5.6071121414121987e-05
-2.7734372644972392e+00	-9.4949040217995404e-04	-5.6071121414448434e-05
-2.7673013413456968e+00	-9.6531524221623037e-04	-5.6071121414119243e-05
-2.7611654181941541e+00	-9.8114008225260937e-04	-5.6071121414450324e-05
-2.7550294950426117e+00	-9.9696492228891400e-04	-5.6071121414118179e-05
-2.7488935718910690e+00	-1.0127897623252652e-03	-5.6071121414451185e-05
-2.7427576487395262e+00	-1.0286146023616002e-03	-5.6071121414118091e-05
-2.7366217255879839e+00	-1.0444394423979220e-03	-5.6071121414450771e-05
-2.7304858024364411e+00	-1.0602642824342836e-03	-5.6071121414119141e-05
-2.7243498792848988e+00	-1.0760891224705798e-03	-5.6071121414449403e-05
